2024-04-24 10:47:09 status unpacked libc-bin:amd64 2.39-0ubuntu8
2024-04-24 10:47:09 upgrade libc6:amd64 2.39-0ubuntu8 2.39-0ubuntu8
2024-04-24 10:47:09 status half-configured libc6:amd64 2.39-0ubuntu8
2024-04-24 10:47:09 status unpacked libc6:amd64 2.39-0ubuntu8
2024-04-24 10:47:09 status half-installed libc6:amd64 2.39-0ubuntu8
2024-04-24 10:47:10 status unpacked libc6:amd64 2.39-0ubuntu8
2024-04-24 10:47:10 install libcap-ng0:amd64 <none> 0.8.4-2build2
2024-04-24 10:47:10 status half-installed libcap-ng0:amd64 0.8.4-2build2
2024-04-24 10:47:10 status unpacked libcap-ng0:amd64 0.8.4-2build2
2024-04-24 10:47:10 install libcap2:amd64 <none> 1:2.66-5ubuntu2
2024-04-24 10:47:10 status half-installed libcap2:amd64 1:2.66-5ubuntu2
2024-04-24 10:47:10 status unpacked libcap2:amd64 1:2.66-5ubuntu2
2024-04-24 10:47:10 install libcom-err2:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:10 status half-installed libcom-err2:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:10 status unpacked libcom-err2:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:10 install libcrypt1:amd64 <none> 1:4.4.36-4build1
2024-04-24 10:47:10 status half-installed libcrypt1:amd64 1:4.4.36-4build1
2024-04-24 10:47:10 status unpacked libcrypt1:amd64 1:4.4.36-4build1
2024-04-24 10:47:10 install libdebconfclient0:amd64 <none> 0.271ubuntu3
2024-04-24 10:47:10 status half-installed libdebconfclient0:amd64 0.271ubuntu3
2024-04-24 10:47:10 status unpacked libdebconfclient0:amd64 0.271ubuntu3
2024-04-24 10:47:10 install libext2fs2t64:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:10 status half-installed libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:10 status unpacked libext2fs2t64:amd64 1.47.0-2.4~exp1ubuntu4
2024-04-24 10:47:10 install libgcc-s1:amd64 <none> 14-20240412-0ubuntu1
2024-04-24 10:47:10 status half-installed libgcc-s1:amd64 14-20240412-0ubuntu1
2024-04-24 10:47:10 status unpacked libgcc-s1:amd64 14-20240412-0ubuntu1
2024-04-24 10:47:10 install libgcrypt20:amd64 <none> 1.10.3-2build1
2024-04-24 10:47:10 status half-installed libgcrypt20:amd64 1.10.3-2build1
2024-04-24 10:47:10 status unpacked libgcrypt20:amd64 1.10.3-2build1
2024-04-24 10:47:10 install libgmp10:amd64 <none> 2:6.3.0+dfsg-2ubuntu6
2024-04-24 10:47:10 status half-installed libgmp10:amd64 2:6.3.0+dfsg-2ubuntu6
2024-04-24 10:47:10 status unpacked libgmp10:amd64 2:6.3.0+dfsg-2ubuntu6
2024-04-24 10:47:10 install libgpg-error0:amd64 <none> 1.47-3build2
2024-04-24 10:47:10 status half-installed libgpg-error0:amd64 1.47-3build2
2024-04-24 10:47:10 status unpacked libgpg-error0:amd64 1.47-3build2
2024-04-24 10:47:10 install liblz4-1:amd64 <none> 1.9.4-1build1
2024-04-24 10:47:10 status half-installed liblz4-1:amd64 1.9.4-1build1
2024-04-24 10:47:10 status unpacked liblz4-1:amd64 1.9.4-1build1
2024-04-24 10:47:10 install liblzma5:amd64 <none> 5.6.1+really5.4.5-1
2024-04-24 10:47:10 status half-installed liblzma5:amd64 5.6.1+really5.4.5-1
2024-04-24 10:47:10 status unpacked liblzma5:amd64 5.6.1+really5.4.5-1
2024-04-24 10:47:10 install libmd0:amd64 <none> 1.1.0-2build1
2024-04-24 10:47:10 status half-installed libmd0:amd64 1.1.0-2build1
2024-04-24 10:47:10 status unpacked libmd0:amd64 1.1.0-2build1
2024-04-24 10:47:10 install libmount1:amd64 <none> 2.39.3-9ubuntu6
2024-04-24 10:47:10 status half-installed libmount1:amd64 2.39.3-9ubuntu6
2024-04-24 10:47:10 status unpacked libmount1:amd64 2.39.3-9ubuntu6
2024-04-24 10:47:10 install libncursesw6:amd64 <none> 6.4+20240113-1ubuntu2
2024-04-24 10:47:10 status half-installed libncursesw6:amd64 6.4+20240113-1ubuntu2
2024-04-24 10:47:10 status unpacked libncursesw6:amd64 6.4+20240113-1ubuntu2
2024-04-24 10:47:10 install libpam-modules:amd64 <none> 1.5.3-5ubuntu5
2024-04-24 10:47:10 status half-installed libpam-modules:amd64 1.5.3-5ubuntu5
